                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5305,                 2.4295,                 2.2786,                 1.5635,                0.27731,                0.34508,                0.25437,                 0.1105,                 0.2813,                0.34154,                0.25027,                0.11496,                 1.7379,                 2.6839,                 2.2982,                 1.7854,             0.00047594,             0.00047594,             0.00047594
                      1,                 1.5783,                 2.4421,                 1.9425,                 1.5745,                0.32839,                0.34214,                0.37007,                0.18625,                0.32896,                0.33808,                0.35665,                0.17393,                 1.7091,                 2.6067,                 1.9337,                  1.727,              0.0009287,              0.0009287,              0.0009287
                      2,                 1.5494,                 2.3893,                 1.8625,                 1.5574,                0.37125,                0.48893,                0.41401,                0.22269,                 0.3738,                0.49203,                0.42024,                0.22503,                 1.5313,                 2.1809,                 1.6874,                 1.5815,              0.0013579,              0.0013579,              0.0013579
                      3,                 1.4828,                 2.2654,                 1.7593,                 1.5087,                0.45091,                0.42115,                 0.4389,                0.22918,                0.34655,                0.41073,                0.41531,                0.22131,                 1.5071,                 2.0508,                 1.6156,                 1.5377,              0.0013229,              0.0013229,              0.0013229
                      4,                 1.4337,                 2.1795,                 1.6737,                 1.4659,                0.41444,                0.45825,                0.43187,                 0.2345,                0.40119,                0.44917,                0.41723,                0.22941,                  1.512,                 2.0737,                 1.5588,                 1.5472,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.3852,                 2.1325,                 1.5944,                 1.4321,                0.40218,                0.52392,                 0.4739,                 0.2686,                0.42691,                0.48038,                0.46435,                0.25603,                 1.4311,                 2.0679,                 1.5073,                  1.474,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.3515,                 2.0548,                 1.5153,                 1.4038,                0.42038,                0.54948,                0.50903,                0.30498,                 0.4111,                0.54064,                0.49162,                0.29103,                 1.3848,                  1.928,                 1.3704,                 1.4519,              0.0012522,              0.0012522,              0.0012522
                      7,                 1.3245,                  2.013,                 1.4561,                 1.3865,                0.45364,                0.53098,                0.49313,                0.27929,                 0.4449,                0.51763,                0.47765,                0.26936,                 1.4146,                 1.8941,                  1.401,                 1.4515,              0.0012168,              0.0012168,              0.0012168
                      8,                 1.2895,                 1.9595,                 1.4057,                 1.3541,                0.43412,                0.57782,                 0.4969,                0.30322,                0.43208,                0.57843,                0.49156,                0.29026,                 1.3776,                 1.8537,                 1.3074,                 1.4503,              0.0011814,              0.0011814,              0.0011814
                      9,                 1.2674,                 1.9328,                 1.3571,                 1.3482,                0.43661,                0.60233,                0.52594,                0.32231,                0.42814,                0.56861,                0.50914,                0.30821,                 1.3545,                 1.8109,                 1.2782,                  1.412,              0.0011461,              0.0011461,              0.0011461
                     10,                  1.249,                 1.9118,                 1.3405,                  1.336,                0.45558,                 0.5938,                0.54752,                0.33176,                0.44611,                 0.5699,                0.52725,                0.31475,                 1.3075,                 1.8032,                 1.2982,                 1.3801,              0.0011107,              0.0011107,              0.0011107
                     11,                 1.2437,                  1.877,                 1.3098,                 1.3227,                0.50109,                0.58644,                0.54528,                 0.3255,                0.48039,                 0.5667,                0.52228,                0.31311,                 1.3471,                 1.7892,                  1.276,                 1.4007,              0.0010753,              0.0010753,              0.0010753
                     12,                 1.2093,                 1.8132,                 1.2568,                  1.308,                0.45715,                0.64271,                0.56556,                0.34363,                0.44566,                 0.6103,                0.54098,                0.32231,                 1.2754,                 1.7768,                 1.2395,                 1.3597,                0.00104,                0.00104,                0.00104
