                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4873,                 2.3793,                 2.1528,                 1.4494,                0.38028,                 0.3563,                0.35456,                0.16964,                0.42012,                 0.3721,                0.35384,                0.16987,                 1.6397,                 2.4312,                 1.7747,                 1.5842,             0.00047554,             0.00047554,             0.00047554
                      1,                 1.5055,                 2.2566,                   1.72,                 1.4488,                0.44017,                0.44684,                0.36378,                0.17647,                0.42624,                0.40579,                0.33238,                0.16562,                 1.6107,                 2.2981,                  1.858,                 1.5208,             0.00092832,             0.00092832,             0.00092832
                      2,                 1.4869,                  2.248,                 1.6704,                 1.4342,                0.68261,                0.36991,                0.42696,                0.21845,                0.68188,                0.36454,                0.43141,                 0.2205,                  1.534,                  2.142,                 1.7757,                 1.4693,              0.0013575,              0.0013575,              0.0013575
                      3,                 1.4372,                 2.1682,                  1.568,                  1.402,                0.40973,                0.46597,                0.41847,                0.21699,                0.41492,                0.47671,                0.41819,                0.22179,                 1.6138,                 2.1489,                 1.7015,                 1.5031,              0.0013229,              0.0013229,              0.0013229
                      4,                 1.3869,                 2.0958,                 1.5198,                 1.3778,                0.39715,                0.51615,                0.43402,                0.22633,                0.40011,                0.52175,                0.43924,                0.22565,                 1.5118,                  1.972,                 1.5126,                  1.456,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.3461,                 2.0288,                 1.4469,                 1.3489,                0.46881,                0.50011,                0.46857,                0.26986,                0.45038,                0.49162,                0.45523,                0.25106,                  1.463,                 2.0333,                 1.4943,                 1.4217,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.3443,                  1.986,                 1.3908,                 1.3339,                0.47106,                0.52135,                0.47684,                0.27317,                0.44731,                0.53023,                0.46439,                0.26255,                 1.4008,                 1.8669,                 1.4355,                 1.3843,              0.0012522,              0.0012522,              0.0012522
                      7,                 1.2869,                 1.8995,                 1.3247,                 1.3033,                0.44332,                0.56827,                0.49738,                0.27607,                0.44914,                0.57335,                0.49464,                0.27103,                 1.4199,                 1.8928,                 1.3683,                 1.3987,              0.0012168,              0.0012168,              0.0012168
                      8,                 1.2599,                 1.8834,                 1.2946,                 1.2844,                0.49785,                0.58674,                0.53742,                0.31212,                0.49862,                0.57417,                  0.526,                0.30193,                 1.3821,                 1.7971,                 1.2837,                 1.3546,              0.0011814,              0.0011814,              0.0011814
                      9,                 1.2547,                 1.8564,                 1.2625,                 1.2651,                0.53542,                0.52564,                0.52882,                0.30564,                0.51116,                0.53096,                0.50229,                0.28449,                  1.386,                   1.83,                  1.272,                 1.3512,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.2276,                 1.8008,                  1.221,                 1.2532,                0.48271,                0.61905,                  0.546,                0.31416,                 0.4913,                 0.5654,                0.52436,                0.31112,                 1.3784,                 1.7322,                 1.2748,                 1.3542,              0.0011107,              0.0011107,              0.0011107
                     11,                  1.211,                 1.7906,                 1.1759,                 1.2381,                0.51374,                0.60431,                0.54512,                0.33088,                0.52635,                0.58427,                0.54236,                0.32321,                 1.3194,                 1.7297,                 1.2371,                 1.3166,              0.0010753,              0.0010753,              0.0010753
                     12,                 1.1949,                 1.7646,                 1.1454,                 1.2284,                 0.4625,                0.61873,                0.55503,                0.33823,                0.44015,                0.60022,                0.53533,                0.32792,                 1.3343,                  1.749,                 1.2072,                 1.3291,                0.00104,                0.00104,                0.00104
                     13,                 1.1925,                 1.7592,                 1.1464,                 1.2215,                 0.4967,                0.60106,                0.55167,                0.33284,                0.50544,                0.59043,                0.54144,                0.31938,                 1.3295,                 1.7573,                 1.2192,                 1.3214,              0.0010046,              0.0010046,              0.0010046
                     14,                  1.176,                 1.7356,                 1.1058,                 1.2153,                0.56126,                0.55328,                0.54708,                0.34079,                0.59059,                0.54132,                0.54624,                0.31896,                 1.3031,                 1.7564,                 1.2452,                 1.3032,             0.00096922,             0.00096922,             0.00096922
                     15,                 1.1635,                 1.7006,                 1.0853,                 1.2029,                0.51452,                0.64023,                0.55759,                0.34216,                0.51828,                0.61733,                0.55493,                0.33212,                 1.2949,                 1.7102,                 1.2054,                 1.3006,             0.00093385,             0.00093385,             0.00093385
                     16,                 1.1401,                 1.6947,                 1.0619,                 1.1895,                0.52482,                0.60918,                0.56041,                0.33678,                0.49703,                 0.6003,                0.53272,                0.31288,                 1.3218,                 1.7428,                 1.2091,                  1.311,             0.00089848,             0.00089848,             0.00089848
