                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6071,                 2.7288,                 2.9226,                 1.5194,                0.48358,                0.35412,                0.35867,                0.17731,                0.54508,                0.36966,                0.37616,                0.19505,                 1.6376,                 2.3015,                 2.1252,                 1.5564,             0.00047589,             0.00047589,             0.00047589
                      1,                 1.6042,                 2.5293,                 2.0617,                 1.5061,                0.37123,                0.41675,                0.33013,                0.16945,                0.37825,                0.42239,                0.34133,                0.18119,                 1.6891,                 2.3635,                 1.9849,                 1.5706,             0.00093337,             0.00093337,             0.00093337
                      2,                  1.617,                 2.4989,                 1.9243,                 1.5086,                0.38147,                0.43261,                0.39825,                0.19807,                0.36153,                0.39665,                0.38248,                0.19698,                 1.5949,                 2.2391,                 1.8075,                 1.5289,               0.001372,               0.001372,               0.001372
                      3,                 1.5608,                 2.4605,                 1.8272,                 1.4766,                0.46364,                0.44041,                0.41854,                0.22602,                0.55817,                0.42599,                0.41609,                0.23185,                 1.5794,                 2.0772,                 1.6938,                 1.4981,              0.0013441,              0.0013441,              0.0013441
                      4,                 1.5206,                  2.405,                 1.7298,                 1.4493,                0.54099,                0.45766,                 0.4534,                0.23921,                0.51173,                0.45621,                0.44848,                0.24257,                 1.5356,                  2.154,                 1.6609,                 1.4855,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5127,                 2.3554,                 1.6848,                 1.4381,                0.57983,                0.45735,                0.47226,                0.26023,                 0.5781,                0.45547,                0.46924,                0.26418,                 1.5232,                 2.1025,                 1.5289,                 1.4276,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.4786,                 2.2998,                 1.6264,                 1.4248,                0.42683,                0.48463,                0.47371,                0.27848,                0.40635,                0.46788,                 0.4525,                0.26704,                 1.4521,                 2.0134,                 1.5315,                 1.4171,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.4608,                 2.2912,                  1.597,                 1.3992,                0.68412,                0.45582,                0.44792,                0.25765,                0.68564,                0.45673,                 0.4496,                0.25472,                 1.4593,                  2.046,                 1.5646,                 1.4053,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.4398,                  2.234,                 1.5309,                 1.3867,                0.48874,                0.53705,                0.50716,                0.29219,                0.44706,                0.52502,                0.48926,                0.29415,                  1.429,                 1.9414,                 1.4523,                 1.3827,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.4202,                 2.1989,                 1.4982,                 1.3714,                0.44349,                0.51982,                0.49417,                0.28096,                0.44352,                0.48516,                0.47444,                0.26957,                 1.4277,                 2.0278,                 1.4621,                 1.3921,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.4039,                 2.1992,                 1.4776,                  1.363,                0.49634,                0.42755,                0.47699,                0.28081,                0.49634,                0.42755,                0.47247,                0.28115,                 1.4141,                 1.9183,                 1.4511,                 1.3872,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.3878,                 2.1484,                 1.4382,                 1.3431,                0.52009,                0.52001,                 0.5265,                0.31492,                0.51697,                0.52468,                0.52786,                0.31662,                 1.3709,                  1.859,                 1.3549,                 1.3398,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.3741,                 2.1458,                 1.4228,                  1.342,                0.45447,                0.57449,                0.52541,                0.31626,                0.43305,                0.56886,                0.50617,                0.28906,                 1.3737,                 2.1536,                 1.3224,                 1.3323,              0.0011178,              0.0011178,              0.0011178
                     13,                  1.367,                  2.122,                 1.4056,                 1.3345,                0.51146,                0.52908,                0.52732,                0.31954,                 0.4951,                0.52229,                  0.515,                 0.2982,                 1.3944,                 1.9794,                 1.3815,                 1.3589,              0.0010895,              0.0010895,              0.0010895
                     14,                  1.337,                 2.0774,                 1.3696,                 1.3142,                 0.5553,                0.52589,                0.53858,                0.32066,                 0.5157,                0.51271,                0.52135,                0.31366,                 1.3633,                 1.8149,                 1.3681,                 1.3497,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.3326,                 2.0639,                 1.3437,                 1.3149,                0.50371,                0.58799,                0.54425,                0.33466,                0.49263,                0.57181,                0.53423,                0.32953,                 1.3594,                 1.8598,                  1.296,                  1.333,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.3303,                 2.0939,                 1.3175,                 1.3016,                0.45192,                0.58773,                0.53496,                0.32064,                0.45708,                0.56921,                0.52515,                0.31466,                  1.354,                 1.8428,                 1.3322,                 1.3326,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.3187,                  2.017,                 1.3115,                 1.2977,                0.51652,                0.51311,                0.53478,                0.33166,                0.48793,                0.49108,                0.52548,                0.32182,                 1.3562,                 1.8018,                 1.2829,                 1.3083,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.3092,                 2.0222,                 1.2883,                 1.2952,                0.50375,                0.59812,                0.55614,                0.34131,                0.52942,                0.56169,                 0.5497,                0.33638,                 1.3553,                 1.8978,                 1.2516,                  1.335,               0.000948,               0.000948,               0.000948
                     19,                 1.2875,                 1.9811,                 1.2755,                 1.2887,                0.46623,                0.60792,                0.55817,                 0.3403,                0.44446,                0.60865,                0.55151,                 0.3373,                 1.3578,                  1.901,                 1.2695,                 1.3585,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.2817,                 1.9732,                 1.2487,                 1.2723,                0.47634,                0.58692,                0.55223,                0.34939,                0.49929,                0.55956,                0.53958,                0.33261,                 1.3227,                 1.8361,                  1.258,                 1.3195,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.2707,                 1.9886,                 1.2319,                 1.2683,                0.51445,                0.57974,                0.56151,                0.34885,                0.51776,                0.57859,                0.55467,                0.33165,                 1.3568,                  1.814,                 1.2768,                 1.3333,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.2669,                 1.9449,                 1.2112,                 1.2658,                0.52537,                0.58178,                0.56949,                0.36064,                0.51976,                0.57823,                0.56037,                 0.3412,                 1.3144,                 1.8218,                  1.233,                 1.3049,             0.00083482,             0.00083482,             0.00083482
                     23,                  1.257,                 1.9648,                 1.2126,                  1.252,                0.48227,                0.59417,                0.55853,                0.35441,                0.55534,                0.54905,                0.55671,                0.34554,                 1.3001,                 1.8147,                 1.2242,                 1.3056,             0.00080653,             0.00080653,             0.00080653
                     24,                  1.253,                 1.9468,                 1.1882,                 1.2635,                0.47096,                0.61589,                0.55306,                0.35407,                 0.4769,                0.60689,                0.55274,                0.34455,                 1.3348,                 1.8432,                 1.2334,                 1.3383,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.2278,                 1.9105,                 1.1606,                  1.242,                0.49861,                0.57547,                 0.5478,                0.35433,                0.50696,                 0.5812,                0.54837,                0.34819,                 1.3193,                 1.8076,                 1.2629,                 1.3111,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.2257,                 1.9169,                 1.1533,                 1.2351,                0.48784,                0.60525,                0.54141,                0.34716,                0.48699,                0.60206,                0.53672,                0.33833,                 1.2855,                 1.7613,                  1.252,                 1.3079,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.2136,                 1.9115,                 1.1372,                 1.2254,                0.46697,                0.62916,                0.55794,                 0.3559,                0.44888,                0.59507,                0.54509,                0.34111,                 1.3551,                 1.7957,                 1.2311,                 1.3458,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.2246,                 1.8894,                 1.1393,                 1.2404,                0.51321,                0.64728,                0.57689,                0.37027,                0.50886,                0.63913,                0.57076,                0.34946,                 1.3103,                 1.7949,                 1.1766,                 1.3298,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.2023,                 1.8702,                 1.0935,                 1.2228,                 0.5142,                0.59374,                0.55694,                0.35264,                0.50204,                0.58341,                0.54447,                0.33648,                 1.3084,                 1.8094,                 1.1909,                 1.3259,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.1974,                 1.8609,                 1.0928,                 1.2126,                0.51739,                0.62183,                0.56842,                0.36991,                0.50246,                0.61244,                 0.5553,                0.35305,                  1.303,                   1.82,                 1.2077,                 1.3104,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.1902,                 1.8666,                 1.0837,                 1.2093,                0.52741,                0.61792,                0.57655,                 0.3735,                0.54256,                0.62084,                0.57971,                0.36037,                 1.2851,                 1.7453,                 1.1622,                 1.3063,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.1728,                 1.8465,                 1.0575,                 1.2006,                0.50528,                0.61513,                0.55232,                0.35378,                0.50141,                0.59832,                0.54549,                  0.339,                 1.3157,                 1.8025,                 1.2024,                 1.3093,             0.00055188,             0.00055188,             0.00055188
                     33,                  1.173,                 1.8443,                 1.0642,                 1.2011,                0.54067,                0.59396,                0.57788,                0.36878,                0.52075,                0.58214,                0.55647,                0.35958,                 1.2768,                 1.7616,                 1.2093,                 1.3044,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.1673,                 1.8167,                 1.0418,                 1.1917,                0.52852,                0.62707,                0.57555,                0.37019,                0.52285,                0.61401,                0.57183,                0.35596,                  1.296,                 1.8087,                 1.1636,                 1.3128,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.1481,                  1.803,                 1.0287,                 1.1867,                0.53428,                0.61249,                0.58617,                0.37294,                0.52525,                0.60472,                0.56804,                0.35139,                 1.2906,                 1.8007,                 1.1785,                 1.3121,               0.000467,               0.000467,               0.000467
                     36,                 1.1595,                 1.8174,                  1.025,                 1.1872,                0.52488,                 0.6212,                0.57252,                0.36752,                0.52579,                0.60637,                0.56342,                0.35332,                 1.2975,                 1.8018,                 1.1696,                 1.3132,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.1449,                 1.7928,                 1.0011,                 1.1752,                0.53449,                0.62728,                0.58362,                 0.3743,                0.52535,                0.60316,                0.56715,                0.35378,                 1.2936,                 1.7624,                 1.1397,                 1.3178,             0.00041041,             0.00041041,             0.00041041
