                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6548,                 2.8519,                 3.2231,                 1.5819,                0.32535,                0.34646,                0.29836,                0.13583,                0.36465,                0.32166,                0.30898,                0.15002,                 1.6804,                 2.3323,                 2.2555,                 1.6569,             0.00047594,             0.00047594,             0.00047594
                      1,                 1.6283,                 2.6107,                 2.1274,                  1.533,                0.66881,                0.35861,                0.33987,                0.16629,                0.66948,                0.35384,                0.32897,                 0.1576,                 1.6136,                 2.4108,                  1.917,                  1.569,              0.0009287,              0.0009287,              0.0009287
                      2,                 1.6387,                 2.6111,                 1.9179,                 1.5326,                0.56636,                0.45706,                0.39383,                  0.206,                0.56622,                0.45517,                 0.3888,                0.20312,                 1.5395,                 2.2418,                 1.7385,                 1.4907,              0.0013579,              0.0013579,              0.0013579
                      3,                 1.5891,                 2.5171,                 1.7965,                 1.4998,                0.41855,                 0.4838,                0.42948,                0.21843,                0.41663,                0.42079,                0.39725,                0.20771,                 1.5283,                  2.228,                 1.6004,                 1.4646,              0.0013229,              0.0013229,              0.0013229
                      4,                 1.5578,                 2.4477,                 1.7384,                 1.4735,                0.46879,                0.45356,                0.42739,                 0.2445,                0.52692,                0.42395,                0.43327,                0.24651,                 1.4511,                 2.0775,                 1.5624,                 1.4429,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.5189,                 2.4243,                 1.6726,                 1.4484,                0.36247,                0.49668,                0.42233,                0.23916,                0.36112,                0.49539,                0.42046,                0.24191,                 1.4835,                 2.0703,                 1.4987,                 1.4369,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.4909,                  2.383,                 1.5941,                 1.4238,                0.45379,                0.48166,                0.45462,                0.25873,                0.48315,                 0.4865,                0.45663,                0.26594,                 1.4648,                 1.9799,                 1.4632,                 1.4133,              0.0012522,              0.0012522,              0.0012522
                      7,                 1.4628,                 2.3029,                 1.5488,                 1.3997,                0.46207,                0.49497,                0.47638,                0.28408,                0.52968,                0.47239,                0.47106,                0.27759,                 1.3937,                 1.9283,                 1.4158,                 1.3661,              0.0012168,              0.0012168,              0.0012168
                      8,                 1.4455,                 2.2708,                 1.5192,                 1.3866,                0.52399,                0.50693,                0.51012,                0.29757,                0.48563,                0.51024,                0.49481,                0.28769,                  1.407,                 1.9391,                 1.3979,                 1.3906,              0.0011814,              0.0011814,              0.0011814
                      9,                 1.4289,                 2.2605,                 1.4776,                 1.3775,                0.51188,                0.47951,                0.48349,                0.28076,                0.53894,                0.48285,                0.48532,                 0.2747,                 1.4247,                 1.9956,                 1.4224,                 1.3952,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.4141,                 2.2272,                 1.4584,                 1.3646,                0.45655,                0.50768,                0.47842,                0.27525,                0.45765,                0.50877,                 0.4796,                0.27107,                 1.4071,                 1.9809,                 1.3886,                 1.3913,              0.0011107,              0.0011107,              0.0011107
                     11,                 1.4029,                 2.2137,                 1.4394,                 1.3551,                0.48967,                0.54559,                0.50041,                0.29155,                0.50833,                   0.53,                 0.4935,                0.27709,                 1.3952,                  1.934,                 1.3628,                 1.3858,              0.0010753,              0.0010753,              0.0010753
                     12,                 1.3706,                 2.1755,                 1.3927,                 1.3369,                0.44653,                0.52963,                0.50266,                0.29464,                0.43377,                0.53301,                0.50049,                0.29133,                 1.3814,                 1.9135,                 1.3227,                 1.3848,                0.00104,                0.00104,                0.00104
                     13,                 1.3623,                 2.1534,                 1.3688,                 1.3335,                0.51787,                0.51014,                0.51933,                0.31168,                 0.5019,                0.50427,                0.50924,                0.30653,                 1.3213,                 1.8345,                 1.2992,                  1.357,              0.0010046,              0.0010046,              0.0010046
                     14,                  1.333,                 2.1221,                 1.3259,                 1.3082,                0.47748,                0.55541,                0.53713,                0.32326,                0.54293,                 0.4945,                0.52052,                0.31225,                 1.3487,                 1.8887,                 1.2958,                 1.3657,             0.00096922,             0.00096922,             0.00096922
                     15,                 1.3498,                 2.1241,                 1.3168,                 1.3086,                0.43874,                0.58085,                0.53014,                  0.325,                0.43125,                0.56982,                  0.524,                0.31935,                 1.3398,                 1.8406,                 1.2463,                 1.3597,             0.00093385,             0.00093385,             0.00093385
                     16,                  1.318,                 2.0889,                 1.2834,                 1.2942,                0.51721,                0.58102,                0.55718,                0.33848,                0.53177,                0.56142,                0.54574,                0.32847,                 1.3227,                 1.8409,                  1.242,                 1.3374,             0.00089848,             0.00089848,             0.00089848
                     17,                 1.3113,                 2.0802,                  1.269,                  1.286,                0.52365,                0.56357,                0.55368,                0.33868,                0.53008,                0.54545,                0.53484,                0.31851,                 1.3114,                 1.8497,                 1.1965,                 1.3459,             0.00086312,             0.00086312,             0.00086312
                     18,                 1.2937,                 2.0497,                 1.2406,                 1.2743,                0.48186,                0.56867,                0.53253,                  0.327,                 0.4936,                0.51742,                0.51068,                0.31083,                 1.3274,                 1.9149,                 1.2709,                 1.3597,             0.00082775,             0.00082775,             0.00082775
                     19,                 1.2752,                 2.0172,                  1.215,                  1.264,                0.51652,                0.60815,                0.55314,                0.33548,                0.49421,                0.58661,                0.52503,                0.32173,                 1.3247,                 1.8004,                 1.2289,                 1.3569,             0.00079238,             0.00079238,             0.00079238
                     20,                 1.2808,                 2.0211,                 1.2205,                 1.2595,                 0.5458,                 0.5623,                0.54253,                0.32758,                 0.5606,                 0.5425,                0.52746,                0.31168,                 1.3181,                 1.9278,                 1.2507,                 1.3402,             0.00075701,             0.00075701,             0.00075701
                     21,                 1.2711,                 1.9855,                 1.2068,                 1.2587,                0.50409,                0.62083,                 0.5505,                0.34012,                0.49386,                0.57582,                 0.5383,                0.33229,                 1.2732,                 1.8049,                 1.1627,                 1.3149,             0.00072164,             0.00072164,             0.00072164
                     22,                 1.2504,                 1.9849,                 1.1573,                 1.2464,                0.52592,                0.58943,                0.54424,                  0.344,                0.51105,                0.56122,                0.53644,                0.32823,                 1.2649,                 1.8457,                 1.1926,                 1.3093,             0.00068628,             0.00068628,             0.00068628
                     23,                 1.2453,                 1.9595,                  1.142,                 1.2358,                0.52924,                0.56993,                 0.5478,                0.34005,                0.52669,                 0.5804,                0.54777,                0.33576,                 1.2789,                 1.8013,                 1.1953,                 1.3282,             0.00065091,             0.00065091,             0.00065091
                     24,                 1.2344,                 1.9667,                 1.1314,                 1.2366,                0.50826,                0.60383,                0.53635,                0.33247,                0.51727,                0.56738,                0.53246,                0.32326,                 1.2902,                 1.7802,                 1.2416,                 1.3181,             0.00061554,             0.00061554,             0.00061554
                     25,                 1.2182,                 1.9231,                 1.1071,                 1.2221,                0.49234,                0.59613,                0.53868,                0.33931,                0.50112,                0.55411,                0.52712,                0.32086,                 1.2962,                 1.8526,                 1.1928,                 1.3383,             0.00058017,             0.00058017,             0.00058017
                     26,                  1.201,                 1.8813,                 1.0817,                 1.2177,                0.57192,                0.59456,                0.56009,                0.35477,                0.54897,                0.57322,                0.54781,                0.33745,                 1.2742,                 1.7836,                 1.1963,                 1.3114,             0.00054481,             0.00054481,             0.00054481
                     27,                 1.1856,                 1.8844,                 1.0722,                 1.2007,                0.51377,                0.58543,                0.54334,                0.34289,                0.52069,                0.54795,                0.53381,                  0.329,                 1.2665,                 1.7719,                 1.1852,                 1.3152,             0.00050944,             0.00050944,             0.00050944
                     28,                 1.1749,                 1.8866,                 1.0415,                  1.196,                0.57166,                0.54051,                0.55336,                0.35382,                0.51467,                0.56461,                0.54052,                0.33238,                 1.2653,                 1.8381,                 1.1437,                 1.3315,             0.00047407,             0.00047407,             0.00047407
                     29,                 1.1829,                 1.8793,                 1.0436,                 1.1912,                0.53671,                0.59114,                0.57845,                0.35978,                0.55529,                0.56935,                0.56974,                0.34201,                 1.2851,                 1.8078,                 1.1518,                 1.3345,              0.0004387,              0.0004387,              0.0004387
                     30,                 1.1662,                 1.8545,                 1.0221,                 1.1863,                0.51571,                0.59095,                0.53947,                0.34094,                0.51447,                0.58687,                0.53761,                0.32629,                 1.2901,                 1.8382,                 1.2108,                 1.3294,             0.00040334,             0.00040334,             0.00040334
                     31,                 1.1583,                 1.8401,                  1.019,                 1.1847,                0.52004,                0.58158,                 0.5319,                0.34559,                0.51255,                0.57095,                0.52693,                 0.3312,                 1.2768,                 1.8127,                 1.1979,                 1.3352,             0.00036797,             0.00036797,             0.00036797
                     32,                 1.1407,                 1.8146,                0.99113,                 1.1773,                0.57135,                0.54281,                0.55925,                0.35578,                0.58643,                0.53144,                 0.5509,                0.34234,                 1.2556,                 1.7726,                 1.1786,                 1.3061,              0.0003326,              0.0003326,              0.0003326
                     33,                  1.131,                 1.7975,                0.97252,                 1.1666,                0.52691,                0.58263,                0.55801,                0.35615,                0.58533,                0.52403,                0.54558,                0.33438,                 1.2724,                 1.7589,                 1.1763,                 1.3374,             0.00029723,             0.00029723,             0.00029723
                     34,                 1.1248,                 1.7967,                0.96284,                 1.1558,                0.52041,                0.58004,                0.54752,                0.35742,                0.50507,                0.56659,                 0.5354,                0.33848,                 1.2663,                 1.8067,                 1.2068,                 1.3311,             0.00026186,             0.00026186,             0.00026186
                     35,                 1.1119,                 1.7779,                0.93963,                 1.1516,                0.52273,                0.60167,                0.55767,                0.36764,                0.59439,                0.53249,                0.54707,                0.34411,                 1.2634,                 1.7843,                 1.1948,                 1.3322,              0.0002265,              0.0002265,              0.0002265
                     36,                 1.1005,                 1.7696,                 0.9289,                 1.1473,                0.56502,                0.56066,                0.55186,                 0.3602,                0.59274,                0.53772,                0.54027,                0.33385,                 1.2605,                 1.8822,                 1.2023,                 1.3241,             0.00019113,             0.00019113,             0.00019113
                     37,                 1.0826,                 1.7468,                0.91112,                 1.1367,                0.61012,                0.56433,                0.56527,                0.36771,                0.59971,                0.55722,                0.55522,                0.35002,                 1.2488,                 1.8106,                 1.1703,                 1.3257,             0.00015576,             0.00015576,             0.00015576
                     38,                 1.0744,                 1.7339,                0.90713,                 1.1311,                0.58822,                 0.5726,                0.56146,                 0.3671,                0.58115,                0.57057,                0.55503,                0.34718,                 1.2527,                 1.8372,                  1.181,                 1.3254,             0.00012039,             0.00012039,             0.00012039
                     39,                 1.0685,                 1.7055,                0.88647,                 1.1356,                0.60925,                0.57785,                0.56717,                0.37139,                0.57796,                0.57776,                0.55563,                0.35154,                 1.2622,                 1.8262,                 1.1755,                 1.3355,             8.5026e-05,             8.5026e-05,             8.5026e-05
