                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5203,                 2.6163,                  2.521,                 1.3387,                0.32282,                0.32571,                0.26775,                0.13118,                 0.3175,                0.31315,                0.26242,                0.12784,                  1.701,                 3.0567,                 2.4675,                 1.4902,             0.00047318,             0.00047318,             0.00047318
                      1,                 1.5011,                 2.3168,                 1.8363,                  1.305,                0.44717,                0.42828,                0.37654,                0.20242,                0.41283,                0.40175,                 0.3555,                0.18014,                 1.5855,                 2.6578,                 1.7545,                 1.3939,             0.00092601,             0.00092601,             0.00092601
                      2,                 1.4918,                 2.2641,                 1.6418,                 1.2993,                0.31901,                0.38348,                0.30744,                0.16027,                0.30263,                0.36878,                0.30014,                0.14984,                 1.6583,                 2.8226,                 1.8634,                 1.4148,              0.0013553,              0.0013553,              0.0013553
                      3,                 1.4839,                 2.2628,                 1.5976,                 1.3022,                 0.3152,                0.34662,                0.25219,                0.12916,                0.27429,                0.32316,                0.24265,                0.11594,                   1.77,                 3.7847,                 2.1316,                 1.5078,              0.0013229,              0.0013229,              0.0013229
                      4,                 1.4619,                 2.2156,                 1.5021,                   1.29,                0.43986,                0.43872,                0.41937,                0.23626,                 0.4163,                0.42127,                0.40202,                0.22972,                 1.5497,                 2.3417,                 1.5222,                 1.3367,              0.0013229,              0.0013229,              0.0013229
                      5,                 1.4152,                 2.1642,                 1.4203,                 1.2573,                0.44317,                0.43536,                0.43724,                0.26912,                0.48535,                0.37815,                0.41983,                0.25742,                 1.4799,                  2.132,                 1.6133,                 1.2834,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.3949,                   2.11,                 1.3881,                 1.2476,                0.46222,                0.40973,                0.40952,                0.24015,                 0.6507,                0.38642,                 0.4035,                0.23207,                 1.5489,                 2.1545,                 1.5563,                 1.3295,              0.0012522,              0.0012522,              0.0012522
                      7,                 1.3742,                 2.0966,                 1.3452,                 1.2317,                0.47454,                 0.4424,                0.44992,                0.27318,                0.50154,                0.43266,                0.44867,                0.26869,                 1.4882,                 2.0843,                 1.4348,                 1.3175,              0.0012168,              0.0012168,              0.0012168
                      8,                 1.3476,                 2.0257,                  1.301,                 1.2177,                0.55334,                0.44184,                0.48472,                0.29307,                0.53059,                0.40899,                0.45386,                0.27462,                 1.4175,                   2.06,                 1.3602,                 1.2774,              0.0011814,              0.0011814,              0.0011814
                      9,                 1.3454,                 2.0245,                 1.2818,                 1.2119,                0.53072,                 0.4563,                0.45378,                0.28866,                0.52795,                0.44084,                0.44961,                0.28619,                 1.4429,                 2.0403,                 1.3836,                 1.2494,              0.0011461,              0.0011461,              0.0011461
                     10,                 1.3145,                 1.9845,                 1.2508,                 1.2018,                0.47807,                0.47367,                0.48282,                  0.311,                 0.4773,                0.45424,                0.47446,                 0.3062,                 1.3875,                 1.9988,                 1.3175,                 1.2541,              0.0011107,              0.0011107,              0.0011107
                     11,                 1.3165,                 1.9641,                 1.2434,                 1.1909,                 0.8015,                0.42768,                0.49986,                0.31425,                0.79311,                0.40974,                0.47163,                0.29208,                 1.3757,                 1.9256,                 1.2552,                 1.2475,              0.0010753,              0.0010753,              0.0010753
                     12,                 1.2867,                 1.9465,                 1.1963,                 1.1833,                0.44572,                0.54292,                0.48683,                0.31858,                0.44384,                0.50258,                0.48015,                0.30489,                 1.3788,                 1.9504,                 1.2708,                  1.243,                0.00104,                0.00104,                0.00104
                     13,                 1.2821,                 1.9236,                  1.188,                 1.1763,                0.42705,                 0.5176,                0.48604,                0.29525,                0.49724,                0.43698,                0.46268,                0.28019,                  1.422,                 2.0011,                 1.3925,                 1.2647,              0.0010046,              0.0010046,              0.0010046
                     14,                 1.2871,                 1.9424,                 1.1715,                 1.1751,                 0.5788,                 0.5114,                0.52099,                0.33041,                0.52923,                 0.4901,                0.49163,                 0.3056,                 1.3508,                 1.9446,                 1.2428,                 1.2205,             0.00096922,             0.00096922,             0.00096922
                     15,                 1.2611,                 1.9174,                 1.1377,                 1.1634,                0.55802,                0.49199,                0.51966,                0.33252,                 0.5367,                0.48638,                0.50958,                0.31742,                 1.3529,                 1.8851,                 1.2141,                 1.2417,             0.00093385,             0.00093385,             0.00093385
                     16,                  1.233,                 1.8425,                 1.1117,                 1.1563,                0.42205,                0.51947,                0.49543,                0.32067,                0.54242,                0.45331,                0.47972,                0.29187,                 1.3902,                 2.0485,                 1.2586,                 1.2578,             0.00089848,             0.00089848,             0.00089848
                     17,                 1.2499,                  1.876,                 1.1056,                 1.1535,                0.49558,                0.52571,                0.51779,                 0.3377,                0.52083,                0.51203,                0.50944,                0.31928,                 1.3154,                 1.8889,                 1.2427,                 1.2161,             0.00086312,             0.00086312,             0.00086312
                     18,                 1.2425,                 1.8683,                 1.0863,                 1.1457,                0.45505,                0.56145,                0.53389,                0.33736,                0.55758,                0.49757,                0.51109,                0.32004,                 1.3564,                  1.904,                 1.1927,                 1.2458,             0.00082775,             0.00082775,             0.00082775
                     19,                 1.2095,                 1.8299,                 1.0546,                 1.1301,                0.44795,                0.54854,                0.51202,                0.34019,                0.48781,                 0.5146,                0.50673,                0.32005,                 1.3124,                 1.8863,                 1.1888,                 1.2211,             0.00079238,             0.00079238,             0.00079238
                     20,                 1.2146,                 1.8139,                 1.0477,                 1.1387,                0.51933,                0.56697,                0.53836,                0.34878,                0.50221,                0.53479,                0.51987,                0.33397,                 1.3527,                 1.8837,                 1.1846,                 1.2146,             0.00075701,             0.00075701,             0.00075701
                     21,                 1.1922,                 1.7942,                 1.0383,                 1.1293,                0.48089,                 0.5713,                0.53698,                0.34479,                0.47439,                0.53724,                0.51971,                0.32588,                 1.3292,                  1.878,                 1.2021,                 1.2225,             0.00072164,             0.00072164,             0.00072164
                     22,                 1.1877,                 1.7965,                 1.0137,                 1.1201,                0.53737,                0.51024,                0.53052,                0.34871,                0.57748,                0.49782,                0.51885,                0.33014,                 1.3281,                 1.8652,                  1.161,                 1.2228,             0.00068628,             0.00068628,             0.00068628
                     23,                 1.1787,                 1.7575,                0.99473,                 1.1171,                0.50399,                0.56339,                0.52029,                0.34005,                  0.497,                0.53531,                0.51122,                0.31753,                  1.343,                 1.9077,                  1.197,                 1.2431,             0.00065091,             0.00065091,             0.00065091
                     24,                  1.174,                 1.7811,                0.98427,                 1.1135,                0.53319,                0.57363,                0.54577,                0.35978,                0.50876,                 0.5488,                0.52726,                0.33782,                 1.3209,                 1.8529,                 1.1739,                 1.2064,             0.00061554,             0.00061554,             0.00061554
                     25,                 1.1587,                 1.7527,                 0.9763,                 1.1073,                0.48589,                0.55375,                0.53248,                0.34406,                 0.4755,                0.52197,                0.51211,                0.32158,                 1.3404,                 1.9006,                 1.1934,                 1.2352,             0.00058017,             0.00058017,             0.00058017
                     26,                 1.1561,                 1.7332,                0.94866,                 1.1017,                0.51997,                 0.5362,                0.52684,                0.34297,                0.49685,                0.51735,                0.50491,                0.31832,                 1.3202,                   1.99,                 1.1772,                 1.2178,             0.00054481,             0.00054481,             0.00054481
                     27,                  1.136,                 1.7245,                0.94057,                 1.0961,                0.53715,                0.53274,                0.53771,                0.35398,                0.50802,                0.51672,                 0.5242,                0.33215,                 1.3083,                 1.8732,                 1.1684,                 1.2138,             0.00050944,             0.00050944,             0.00050944
                     28,                 1.1253,                 1.6986,                0.90862,                 1.0896,                0.51964,                0.57395,                0.53306,                0.34374,                0.47353,                0.53236,                0.50717,                0.32071,                 1.3338,                 1.9184,                 1.1676,                 1.2329,             0.00047407,             0.00047407,             0.00047407
                     29,                 1.1306,                 1.7108,                0.89868,                 1.0845,                0.51634,                0.53844,                0.52366,                0.34458,                0.54357,                0.52081,                0.50648,                0.32279,                 1.3151,                 1.9085,                 1.2118,                 1.2093,              0.0004387,              0.0004387,              0.0004387
                     30,                 1.1147,                 1.6946,                 0.8913,                 1.0794,                0.51159,                 0.5729,                0.54339,                0.35222,                 0.5094,                0.53867,                0.51896,                0.33014,                 1.3218,                 1.9214,                 1.1466,                 1.2135,             0.00040334,             0.00040334,             0.00040334
                     31,                 1.1017,                 1.6616,                0.87696,                  1.078,                0.49971,                0.58305,                0.54659,                0.35909,                0.52498,                0.51303,                0.52332,                0.33596,                 1.3019,                 1.8406,                  1.171,                 1.2095,             0.00036797,             0.00036797,             0.00036797
                     32,                 1.1023,                 1.6744,                0.86099,                 1.0786,                0.48913,                0.60144,                0.55629,                0.35776,                0.55092,                0.51084,                0.52891,                 0.3374,                 1.3268,                 1.8884,                 1.1065,                 1.2318,              0.0003326,              0.0003326,              0.0003326
                     33,                 1.0896,                  1.659,                0.84707,                 1.0732,                0.56831,                0.54943,                0.54454,                 0.3575,                0.52685,                0.52901,                0.51917,                0.33688,                 1.3115,                 1.9182,                 1.1208,                 1.2182,             0.00029723,             0.00029723,             0.00029723
                     34,                 1.0855,                 1.6637,                0.84204,                 1.0685,                0.47984,                0.58577,                0.55208,                0.35896,                0.56097,                 0.4983,                 0.5282,                 0.3395,                 1.3104,                 1.9646,                 1.1505,                 1.2189,             0.00026186,             0.00026186,             0.00026186
                     35,                 1.0688,                   1.63,                0.82455,                 1.0589,                0.51509,                0.58342,                0.55536,                0.36577,                0.50953,                0.54122,                0.52709,                0.34206,                 1.3017,                  1.918,                 1.1396,                 1.2142,              0.0002265,              0.0002265,              0.0002265
                     36,                 1.0674,                 1.6172,                0.81799,                 1.0585,                0.52331,                0.59702,                0.55357,                0.36138,                0.49146,                0.56213,                0.52766,                0.33763,                 1.2804,                 1.9489,                 1.1138,                 1.2017,             0.00019113,             0.00019113,             0.00019113
                     37,                 1.0605,                 1.6059,                0.80515,                 1.0567,                0.52045,                0.55403,                0.55002,                0.36264,                0.52836,                0.51671,                0.52166,                0.33751,                 1.2854,                 1.9062,                 1.1082,                 1.2024,             0.00015576,             0.00015576,             0.00015576
                     38,                 1.0526,                  1.604,                0.79732,                 1.0525,                0.55193,                0.57557,                0.55772,                0.36129,                0.51612,                0.55214,                0.52879,                0.33669,                 1.2858,                   1.95,                 1.1201,                 1.2058,             0.00012039,             0.00012039,             0.00012039
                     39,                 1.0495,                 1.5892,                0.78566,                 1.0487,                0.52762,                0.59808,                0.55641,                0.36525,                0.49054,                0.57535,                0.53195,                0.34089,                 1.2854,                 1.9489,                 1.1043,                  1.214,             8.5026e-05,             8.5026e-05,             8.5026e-05
